Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,2021-09-18,Liverpool,Crystal Palace,84,76,86,77,83,75,85,74,49,33,24,25,918.9,271.05,3,0,H,1,0,H,25,13,10,2,17,11,10,5,3,1,0,0,2.77,0.64,1.33,0.3,2.72,0.19,5.17,20.33,1.2,7.0,13.0,1.22,6.5,13.5,1.22,6.5,12.0,1.22,6.87,15.6,1.2,6.5,15.0,1.2,6.5,13.0,1.29,6.13,11.57
E0,2021-09-18,Manchester City,Southampton,85,76,85,76,87,76,85,76,39,33,24,25,1000.0,274.3,0,0,D,0,0,D,18,10,1,2,5,12,8,5,0,2,0,0,1.22,0.49,1.03,0.4,1.98,0.73,11.53,16.5,1.12,9.5,17.0,1.14,8.25,19.5,1.17,7.75,16.0,1.16,8.48,19.72,1.14,7.5,19.0,1.12,8.0,19.0,1.18,8.18,16.74
E0,2021-09-18,Norwich,Watford,74,75,76,75,73,74,73,74,45,47,24,25,163.2,156.2,1,3,A,1,1,D,12,12,5,8,10,14,4,8,1,1,0,0,0.78,2.42,0.71,2.24,0.35,2.5,8.07,10.4,2.15,3.3,3.5,2.15,3.4,3.4,2.15,3.35,3.45,2.21,3.48,3.53,2.15,3.3,3.5,2.15,3.2,3.4,2.41,3.29,3.31
E0,2021-09-18,Aston Villa,Everton,78,79,79,80,77,79,77,79,44,42,24,25,487.75,479.05,3,0,H,0,0,D,15,11,3,1,7,10,5,4,1,1,0,0,0.78,0.76,0.57,0.66,1.34,1.3,8.22,11.88,2.4,3.3,3.0,2.35,3.4,3.0,2.35,3.3,3.05,2.42,3.44,3.15,2.4,3.2,3.0,2.3,3.25,3.0,2.18,3.46,3.65
E0,2021-09-19,Brighton,Leicester,75,80,75,82,75,81,76,79,43,40,24,25,318.0,526.549999,2,1,H,1,0,H,12,14,5,3,8,10,4,9,2,1,0,0,1.47,1.25,0.49,1.19,1.54,1.15,13.76,8.86,2.7,3.2,2.75,2.75,3.2,2.65,2.75,3.15,2.7,2.83,3.25,2.77,2.62,3.2,2.7,2.7,3.1,2.63,2.55,3.23,3.12
E0,2021-09-19,West Ham,Manchester United,79,83,79,83,78,84,78,83,36,43,26,25,354.9,769.15,1,2,A,1,1,D,13,17,4,10,5,8,2,11,0,0,0,0,1.67,1.9,0.86,1.42,1.18,1.52,16.8,12.56,4.33,4.0,1.75,4.4,4.0,1.75,4.3,3.9,1.77,4.69,3.9,1.81,4.6,3.7,1.75,4.4,3.8,1.73,4.31,3.79,1.89
E0,2021-09-19,Tottenham,Chelsea,82,83,86,84,80,85,80,82,45,44,23,25,689.35,914.5,0,3,A,0,0,D,8,20,2,10,4,15,5,11,0,1,0,0,0.71,2.59,0.53,2.41,0.28,2.6,14.9,9.31,5.0,3.8,1.7,5.0,3.75,1.72,4.9,3.8,1.7,4.98,4.02,1.74,4.6,3.7,1.75,5.0,3.5,1.7,4.2,3.4,2.04
E0,2021-09-25,Chelsea,Manchester City,83,85,84,85,85,85,82,86,44,39,25,24,914.5,1000.0,0,1,A,0,0,D,5,15,0,4,12,10,4,13,3,2,0,0,0.19,1.69,0.15,1.22,0.26,2.57,21.44,9.13,2.62,3.2,2.75,2.7,3.25,2.7,2.65,3.25,2.75,2.74,3.3,2.83,2.62,3.2,2.7,2.7,3.25,2.8,2.92,3.21,2.72
E0,2021-09-25,Manchester United,Aston Villa,84,78,85,78,84,76,83,77,43,44,25,24,769.15,487.75,0,1,A,0,0,D,28,7,4,3,9,13,5,5,2,2,0,0,1.93,1.57,0.93,1.19,1.62,1.11,6.28,9.41,1.36,5.25,8.0,1.4,5.0,7.5,1.4,5.0,7.25,1.41,5.12,8.13,1.38,4.75,8.0,1.36,5.25,8.5,1.42,5.1,7.95
E0,2021-09-25,Everton,Norwich,79,74,79,76,78,74,79,74,42,45,25,24,479.05,163.2,2,0,H,1,0,H,11,10,4,2,12,9,6,4,2,3,0,0,2.27,0.8,1.49,0.72,2.55,0.29,10.61,14.0,1.61,3.8,5.75,1.6,3.9,6.0,1.63,3.95,5.5,1.65,3.91,6.09,1.6,3.6,6.5,1.6,3.8,5.5,1.7,3.82,5.72
E0,2021-09-25,Leeds,West Ham,77,79,78,79,78,79,76,79,35,36,23,26,299.45,354.9,1,2,A,1,0,H,15,20,5,7,10,6,5,7,3,2,0,0,1.2,1.99,0.97,1.68,0.82,1.95,13.64,20.33,3.0,3.6,2.25,3.0,3.6,2.3,3.05,3.6,2.25,3.17,3.73,2.28,3.0,3.5,2.3,3.0,3.6,2.2,3.08,3.62,2.38
E0,2021-09-25,Leicester,Burnley,80,76,82,76,81,76,79,77,40,35,25,27,526.549999,138.05,2,2,D,1,2,A,22,9,5,3,10,8,8,4,2,4,0,0,2.16,0.43,1.95,0.25,2.57,0.28,9.08,14.09,1.57,4.0,6.0,1.57,4.0,6.0,1.6,4.1,5.75,1.6,4.09,6.37,1.57,3.9,6.0,1.55,3.9,6.0,1.71,3.9,5.39
